code,line,name,opening_year,lat,lng,subzone,planning_area
cc1,cc,dhoby ghaut,2010,1.298911644,103.8462925,dhoby ghaut,museum
cc2,cc,bras basah,2010,1.296861686,103.8506674,bras basah,museum
cc3,cc,esplanade,2010,1.293657725,103.8550812,city hall,downtown core
cc4,cc,promenade,2010,1.293997986,103.86035,marina centre,downtown core
cc5,cc,nicoll highway,2010,1.299766847,103.863637,nicoll,downtown core
cc6,cc,stadium,2010,1.302812468,103.8753377,tanjong rhu,kallang
cc7,cc,mountbatten,2010,1.306201905,103.8825281,aljunied,geylang
cc8,cc,dakota,2010,1.308547984,103.8890647,aljunied,geylang
cc9,cc,paya lebar,2010,1.317247385,103.8922608,geylang east,geylang
cc10,cc,macpherson,2010,1.326150245,103.8892986,macpherson,geylang
cc11,cc,tai seng,2010,1.335141501,103.8883893,tai seng,hougang
cc12,cc,bartley,2009,1.342501178,103.8801779,bidadari,toa payoh
cc13,cc,serangoon,2009,1.350633615,103.8727717,serangoon central,serangoon
cc14,cc,lorong chuan,2009,1.351531286,103.8648122,serangoon central,serangoon
cc15,cc,bishan,2009,1.351315801,103.8491403,bishan east,bishan
cc16,cc,marymount,2009,1.348707263,103.8394231,upper thomson,bishan
cc17,cc,caldecott,2011,1.337245613,103.8401618,toa payoh west,toa payoh
cc19,cc,botanic gardens,2011,1.322386995,103.8153855,tyersall,tanglin
cc20,cc,farrer road,2011,1.317439152,103.8073792,farrer court,bukit timah
cc21,cc,holland village,2011,1.312240296,103.7963991,leedon park,bukit timah
cc22,cc,buona vista,2011,1.306275348,103.7903632,one north,queenstown
cc23,cc,one-north,2011,1.299759875,103.7874575,one north,queenstown
cc24,cc,kent ridge,2011,1.293533499,103.7845727,national university of s'pore,queenstown
cc25,cc,haw par villa,2011,1.281956887,103.781989,port,queenstown
cc26,cc,pasir panjang,2011,1.276213522,103.7913503,port,queenstown
cc27,cc,labrador park,2011,1.272368386,103.8034162,maritime square,bukit merah
cc28,cc,telok blangah,2011,1.270706477,103.8097616,maritime square,bukit merah
cc29,cc,harbourfront,2011,1.265389384,103.8215302,maritime square,bukit merah
ce1,ce,bayfront,2012,1.281873789,103.8590798,bayfront subzone,downtown core
ce2,ce,marina bay,2012,1.276311144,103.854605,central subzone,downtown core
cg1,cg,expo,2001,1.335382526,103.9623747,xilin,tampines
cg2,cg,changi airport,2002,1.357478974,103.9878836,changi airport,changi
dt1,dt,bukit panjang,2015,1.379561212,103.7611889,gombak,bukit batok
dt2,dt,cashew,2015,1.369815449,103.7644392,jelebu,bukit panjang
dt3,dt,hillview,2015,1.362344868,103.7674183,nature reserve,bukit panjang
dt5,dt,beauty world,2015,1.34090149,103.7757467,anak bukit,bukit timah
dt6,dt,king albert park,2015,1.335893496,103.7832359,holland road,bukit timah
dt7,dt,sixth avenue,2015,1.330857645,103.7969068,coronation road,bukit timah
dt8,dt,tan kah kee,2015,1.326392241,103.8065482,coronation road,bukit timah
dt9,dt,botanic gardens,2015,1.322386995,103.8153855,tyersall,tanglin
dt10,dt,stevens,2015,1.320065558,103.8260244,nassim,tanglin
dt11,dt,newton,2015,1.312318922,103.8379846,newton circus,newton
dt12,dt,little india,2015,1.307243816,103.8498416,farrer park,rochor
dt13,dt,rochor,2015,1.303852185,103.8527694,bencoolen,rochor
dt14,dt,bugis,2013,1.300465085,103.8557067,victoria,rochor
dt15,dt,promenade,2013,1.293997986,103.86035,marina centre,downtown core
dt16,dt,bayfront,2013,1.281873789,103.8590798,bayfront subzone,downtown core
dt17,dt,downtown,2013,1.279446382,103.8528408,central subzone,downtown core
dt18,dt,telok ayer,2013,1.282068948,103.8486488,chinatown,outram
dt19,dt,chinatown,2013,1.284223919,103.8451438,china square,outram
dt20,dt,fort canning,2017,1.292481948,103.8443314,clarke quay,singapore river
dt21,dt,bencoolen,2017,1.298918434,103.8503538,bencoolen,rochor
dt22,dt,jalan besar,2017,1.305171388,103.8552957,sungei road,rochor
dt23,dt,bendemeer,2017,1.313672528,103.8629776,kallang bahru,kallang
dt24,dt,geylang bahru,2017,1.321301102,103.8716226,geylang bahru,kallang
dt25,dt,mattar,2017,1.326876715,103.8832475,macpherson,geylang
dt26,dt,macpherson,2017,1.326150245,103.8892986,macpherson,geylang
dt27,dt,ubi,2017,1.32997426,103.8992267,kampong ubi,geylang
dt28,dt,kaki bukit,2017,1.33496736,103.9084593,kaki bukit,bedok
dt29,dt,bedok north,2017,1.334742117,103.9179783,kaki bukit,bedok
dt30,dt,bedok reservoir,2017,1.33660783,103.9322346,bedok reservoir,bedok
dt31,dt,tampines west,2017,1.345515306,103.938437,tampines west,tampines
dt32,dt,tampines,2017,1.345515306,103.938437,tampines west,tampines
dt33,dt,tampines east,2017,1.356191483,103.9546345,tampines east,tampines
dt34,dt,upper changi,2017,1.341739774,103.9614728,simei,tampines
dt35,dt,expo,2017,1.335382526,103.9623747,xilin,tampines
ew1,ew,pasir ris,1989,1.373043316,103.9492845,pasir ris central,pasir ris
ew2,ew,tampines,1989,1.345515306,103.938437,tampines west,tampines
ew3,ew,simei,1989,1.343197079,103.9533772,simei,tampines
ew4,ew,tanah merah,1989,1.327187291,103.9463486,bedok south,bedok
ew5,ew,bedok,1989,1.320401487,103.9571838,bayshore,bedok
ew6,ew,kembangan,1989,1.321038134,103.9129479,kembangan,bedok
ew7,ew,eunos,1989,1.319783549,103.9032258,geylang east,geylang
ew8,ew,paya lebar,1989,1.317247385,103.8922608,geylang east,geylang
ew9,ew,aljunied,1989,1.316432612,103.882906,aljunied,geylang
ew10,ew,kallang,1989,1.31148891,103.8713865,boon keng,kallang
ew11,ew,lavender,1989,1.307377817,103.8627676,lavender,kallang
ew12,ew,bugis,1989,1.300465085,103.8557067,victoria,rochor
ew13,ew,city hall,1987,1.292989907,103.8525426,city hall,downtown core
ew14,ew,raffles place,1987,1.283933262,103.8514631,raffles place,downtown core
ew15,ew,tanjong pagar,1987,1.276561317,103.8457252,tanjong pagar,downtown core
ew16,ew,outram park,1987,1.280241533,103.8400521,chinatown,outram
ew17,ew,tiong bahru,1988,1.286194579,103.8269989,tiong bahru station,bukit merah
ew18,ew,redhill,1988,1.289634534,103.816741,redhill,bukit merah
ew19,ew,queenstown,1988,1.294550852,103.8060772,mei chin,queenstown
ew20,ew,commonwealth,1988,1.302501999,103.7982285,commonwealth,queenstown
ew21,ew,buona vista,1988,1.306275348,103.7903632,one north,queenstown
ew22,ew,dover,2001,1.311405293,103.7786378,singapore polytechnic,queenstown
ew23,ew,clementi,1988,1.315116253,103.7651915,clementi central,clementi
ew24,ew,jurong east,1988,1.333152816,103.7422863,jurong gateway,jurong east
ew25,ew,chinese garden,1988,1.342352821,103.7325967,lakeside (leisure),jurong east
ew26,ew,lakeside,1988,1.344259115,103.7209491,taman jurong,jurong west
ew27,ew,boon lay,1990,1.338604055,103.7060646,jurong west central,jurong west
ew28,ew,pioneer,2009,1.337587011,103.6973216,jurong west central,jurong west
ew29,ew,joo koon,2009,1.327717041,103.678375,joo koon,pioneer
ew30,ew,gul circle,2017,1.319470901,103.6605305,gul circle,pioneer
ew31,ew,tuas crescent,2017,1.321026956,103.6490782,tuas north,tuas
ew32,ew,tuas west road,2017,1.329985047,103.6396166,tuas bay,tuas
ew33,ew,tuas link,2017,1.340882425,103.6369914,tuas promenade,tuas
ne1,ne,harbourfront,2003,1.265389384,103.8215302,maritime square,bukit merah
ne3,ne,outram park,2003,1.280241533,103.8400521,chinatown,outram
ne4,ne,chinatown,2003,1.284223919,103.8451438,china square,outram
ne5,ne,clarke quay,2003,1.287452114,103.8461192,boat quay,singapore river
ne6,ne,dhoby ghaut,2003,1.298911644,103.8462925,dhoby ghaut,museum
ne7,ne,little india,2003,1.307243816,103.8498416,farrer park,rochor
ne8,ne,farrer park,2003,1.3131403,103.8547547,lavender,kallang
ne9,ne,boon keng,2003,1.319939577,103.8620527,bendemeer,kallang
ne10,ne,potong pasir,2003,1.331378085,103.8693635,sennett,toa payoh
ne11,ne,woodleigh,2011,1.339190045,103.8708183,bidadari,toa payoh
ne12,ne,serangoon,2003,1.350633615,103.8727717,serangoon central,serangoon
ne13,ne,kovan,2003,1.360179171,103.8850649,kovan,hougang
ne14,ne,hougang,2003,1.371292266,103.8923805,hougang central,hougang
ne15,ne,buangkok,2006,1.38287002,103.8931226,compassvale,sengkang
ne16,ne,sengkang,2003,1.391694626,103.8954847,sengkang town centre,sengkang
ne17,ne,punggol,2003,1.414927334,103.9101664,northshore,punggol
ns1,ns,jurong east,1990,1.333152816,103.7422863,jurong gateway,jurong east
ns2,ns,bukit batok,1990,1.349033312,103.7495665,bukit batok central,bukit batok
ns3,ns,bukit gombak,1990,1.358611591,103.7517909,guilin,bukit batok
ns4,ns,choa chu kang,1990,1.385363165,103.7443708,choa chu kang central,choa chu kang
ns5,ns,yew tee,1996,1.397535069,103.7474052,yew tee,choa chu kang
ns7,ns,kranji,1996,1.425086981,103.7621375,turf club,sungei kadut
ns8,ns,marsiling,1996,1.432521149,103.7740746,woodlands west,woodlands
ns9,ns,woodlands,1996,1.436057617,103.7879388,woodlands regional centre,woodlands
ns10,ns,admiralty,1996,1.440588562,103.8009905,woodlands east,woodlands
ns11,ns,sembawang,1996,1.449050822,103.8200461,sembawang central,sembawang
