name,lat,lng,subzone,planning_area
Admiralty Primary School,1.4429413999999998,103.80034506744822,woodlands east,serangoon
Ahmad Ibrahim Primary School,1.4338487,103.83270977683569,yishun west,serangoon
Ai Tong School,1.3750163999999998,103.85741484638571,cheng san,serangoon
Alexandra Primary School,1.2912837,103.82406594082049,alexandra north,serangoon
Anchor Green Primary School,1.3903797999999998,103.88735379337129,anchorvale,serangoon
Anderson Primary School,1.38443915,103.84141596723364,yio chu kang west,serangoon
Anglo-Chinese School (Primary),1.31875235,103.83507692293152,malcolm,serangoon
Angsana Primary School,1.3635823,103.9389128969244,tampines north,serangoon
Ang Mo Kio Primary School,1.3691002,103.83936023522986,shangri-la,serangoon
Balestier Hill Primary School,1.325701,103.8444596093023,balestier,serangoon
Beacon Primary School,1.3841149499999998,103.77380560574731,bangkit,serangoon
Bedok Green Primary School,1.3240565000000002,103.93783056591907,bedok south,serangoon
Bendemeer Primary School,1.3223156999999999,103.86507408569749,bendemeer,serangoon
Blangah Rise Primary School,1.27640575,103.80880997314257,telok blangah drive,serangoon
Boon Lay Garden Primary School,1.3428882,103.71293314363199,boon lay place,serangoon
Bukit Panjang Primary School,1.37341685,103.76942916071428,jelebu,serangoon
Bukit Timah Primary School,1.33751905,103.76684937098564,anak bukit,serangoon
Bukit View Primary School,1.34570095,103.7535184997777,bukit batok central,serangoon
Canberra Primary School,1.45085035,103.81559371692056,sembawang north,serangoon
Canossa Catholic Primary School,1.326500618249612,103.88182794175836,macpherson,serangoon
Cantonment Primary School,1.2758142,103.8398883869862,everton park,serangoon
Casuarina Primary School,1.3728079,103.95722785703951,pasir ris drive,serangoon
Catholic High School (Primary),1.29721925,103.85183918014984,victoria,serangoon
Cedar Primary School,1.3355312499999998,103.8754848107003,sennett,serangoon
Changkat Primary School,1.33982335,103.95227531092621,simei,serangoon
CHIJ (Katong) Primary,1.30643785,103.91083201080627,frankel,serangoon
CHIJ (Kellock),1.274664,103.8280550817506,telok blangah rise,serangoon
CHIJ Our Lady of Good Counsel,1.3577786,103.86393027516012,serangoon garden,serangoon
CHIJ Our Lady of the Nativity,1.37311065,103.89768985814463,hougang east,serangoon
CHIJ Our Lady Queen of Peace,1.36644755,103.76814712650021,dairy farm,serangoon
CHIJ Primary (Toa Payoh),1.3331269,103.84240300250805,toa payoh central,serangoon
CHIJ St. Nicholas Girls' School,1.3742257397539597,103.83415419757864,kebun bahru,serangoon
Chongfu School,1.4387276000000002,103.83929013137512,northland,serangoon
Chongzheng Primary School,1.35054425,103.9509205893496,tampines east,serangoon
Chua Chu Kang Primary School,1.37793775,103.74198414587177,keat hong,serangoon
Clementi Primary School,1.3151333,103.7635872,clementi central,serangoon
Compassvale Primary School,1.39445875,103.89801787171535,sengkang town centre,serangoon
Concord Primary School,1.38021795,103.73633268488207,peng siang,serangoon
Coral Primary School,1.3684258999999999,103.95101110670514,pasir ris central,serangoon
Corporation Primary School,1.35142845,103.7076954364246,wenya,serangoon
Damai Primary School,1.3354514,103.92139005150158,bedok reservoir,serangoon
Dazhong Primary School,1.3591826,103.74796785698437,hong kah north,serangoon
De La Salle School,1.3950596733218423,103.74360833196964,choa chu kang north,serangoon
