name,lat,lng,subzone,planning_area
10 AM,1.2755676999999999,103.8635914,marina south,marina south
313@Somerset,1.3010128,103.83853994515806,somerset,orchard
Aperia,1.3103008999999999,103.86402965968551,kallang bahru,kallang
Balestier Hill Shopping Centre,1.3259725846277892,103.84285106834628,balestier,novena
Bugis Cube,1.29816245,103.8556382607484,bugis,downtown core
Bugis Junction,1.29981525,103.85592304301399,bugis,downtown core
Bugis+,1.2996673,103.85419039106036,victoria,rochor
Capitol Piazza,1.2930948600952696,103.85117262632453,city hall,downtown core
Cathay Cineleisure Orchard,1.3014468000000001,103.83648065159622,somerset,orchard
Clarke Quay Central,1.2889993,103.8461796,clarke quay,singapore river
The Centrepoint,1.3017099161298302,103.84011573981827,somerset,orchard
City Square Mall,1.3112429,103.8565772183625,lavender,kallang
City Gate Mall,1.3024654203366204,103.86245955331196,crawford,kallang
CityLink Mall,1.2921921,103.8545358331597,city hall,downtown core
Duo,1.2998811000000001,103.85865664589822,bugis,downtown core
Far East Plaza,1.3071428999999999,103.83364047054378,boulevard,orchard
Funan,1.2914803,103.8494204,city hall,downtown core
Great World City,1.29345175,103.83199294351853,robertson quay,singapore river
HDB Hub,1.3319765,103.8485384471402,toa payoh central,toa payoh
Holland Village Shopping Mall,1.3107557896959428,103.79527144370009,holland drive,queenstown
ION Orchard,1.30394785,103.83190513892653,boulevard,orchard
Junction 8,1.3505893,103.84874474726445,bishan east,bishan
Knightsbridge,1.3032346,103.8363240606685,somerset,orchard
Liat Towers,1.3050783000000001,103.83072586520694,boulevard,orchard
Lucky Plaza,1.3046029,103.8339122381902,boulevard,orchard
Marina Bay Sands,1.283972021913083,103.85908503981823,bayfront subzone,downtown core
The Shoppes at Marina Bay Sands,1.2845335264282052,103.85997895331205,bayfront subzone,downtown core
Marina Bay Link Mall,1.2808361,103.85398880484463,central subzone,downtown core
Marina Square,1.2905756000000002,103.8573098,marina centre,downtown core
Millenia Walk,1.292471,103.8596399132467,marina centre,downtown core
Mustafa Shopping Centre,1.3098944238297332,103.85579473981835,lavender,kallang
Ngee Ann City,1.3026170499999998,103.83452841745743,boulevard,orchard
Orchard Central,1.30061435,103.83993222576187,somerset,orchard
Orchard Gateway,1.30063405,103.83894624868027,somerset,orchard
Orchard Plaza,1.3013398,103.8411566949469,somerset,orchard
Midpoint Orchard,1.3017143,103.83863113855568,somerset,orchard
Palais Renaissance,1.3067203,103.82965215,boulevard,orchard
People's Park Centre,1.2858861888250033,103.84408908898182,pearl's hill,outram
People's Park Complex,1.2844092228127408,103.84253764393526,people's park,outram
Plaza Singapura,1.3004414,103.84490279418732,dhoby ghaut,museum
PoMo,1.3004094205130012,103.84916212447656,selegie,rochor
Raffles City,1.2938961000000002,103.85334282751232,city hall,downtown core
Scotts Square,1.30583435,103.83293325375892,boulevard,orchard
Shaw House and Centre,1.3065291720822425,103.83181501098284,boulevard,orchard
Sim Lim Square,1.3030332,103.85302554045288,bencoolen,rochor
Singapore Shopping Centre,1.2983192728569135,103.84411935516009,dhoby ghaut,museum
The South Beach,1.2958764277855197,103.85663240090628,city hall,downtown core
Square 2,1.3206361999999998,103.84418667335356,moulmein,novena
Sunshine Plaza,1.30035265,103.85094729701237,bencoolen,rochor
Suntec City,1.2961931999999998,103.85887059999999,marina centre,downtown core
Tanglin Mall,1.3048201000000001,103.8238677436591,tanglin,orchard
Tanjong Pagar Centre,1.2771333439759671,103.84585055516001,tanjong pagar,downtown core
Tekka Centre,1.30619115,103.85061464590565,farrer park,rochor
The Adelphi,1.2913882951718616,103.85123815516009,city hall,downtown core
The Paragon,1.304113463849257,103.83606722632449,boulevard,orchard
Tiong Bahru Plaza,1.2863599,103.82733303018044,tiong bahru station,bukit merah
The Poiz,1.33161365,103.86836882369656,potong pasir,toa payoh
Thomson Plaza,1.35454475,103.83082063425523,upper thomson,bishan
United Square,1.31725795,103.84360085471238,moulmein,novena
Velocity@Novena Square,1.3197981,103.84404339860016,moulmein,novena
Wheelock Place,1.3046691000000001,103.83060029013323,boulevard,orchard
Wisma Atria,1.30369665,103.83328756379005,boulevard,orchard
Zhongshan Mall,1.32715435,103.8464916956952,balestier,novena
Bedok Mall,1.32481115,103.92925437897793,bedok north,bedok
Century Square,1.35237745,103.94381950026856,tampines east,tampines
Our Tampines Hub,1.3533224158861223,103.94039338399547,tampines west,tampines
Changi City Point,1.334113,103.9627137138492,xilin,tampines
Downtown East,1.3773722,103.95464799890136,pasir ris park,pasir ris
Djitsun Mall Bedok,1.3260744,103.92957539091324,bedok north,bedok
Eastpoint Mall,1.3424679,103.9528535,simei,tampines
Jewel Changi Airport,1.36022425,103.98967490995527,changi airport,changi
KINEX,1.31476385,103.894706957721,geylang east,geylang
Katong Shopping Centre,1.30387795,103.90117314217406,katong,marine parade
Katong Square,1.30470365,103.90480078131986,marine parade,marine parade
Kallang Wave Mall,1.3035107,103.87279165366071,tanjong rhu,kallang
Leisure Park Kallang,1.3022347,103.87655441740488,tanjong rhu,kallang
i12 Katong,1.3052327,103.90505238485224,marine parade,marine parade
Parkway Parade,1.30137335,103.90517777316566,marine parade,marine parade
Paya Lebar Square,1.31862245,103.89263484259172,geylang east,geylang
Paya Lebar Quarter,1.3177643719752286,103.89281442859355,geylang east,geylang
Roxy Square,1.30334185,103.90464588440835,marine parade,marine parade
Singpost Centre,1.3191496968754088,103.89405972632457,geylang east,geylang
Tampines 1,1.35422,103.94512469625587,tampines east,tampines
Tampines Mall,1.35254345,103.9447382628525,tampines east,tampines
White Sands,1.3723843999999998,103.94972056510376,pasir ris central,pasir ris
City Plaza,1.3147175,103.89341430734517,geylang east,geylang
Elias Mall,1.37855525,103.94201335265566,pasir ris west,pasir ris
Loyang Point,1.36696475,103.9646487353097,pasir ris drive,pasir ris
888 Plaza,1.4378098499999998,103.79531608979214,midview,woodlands
Admiralty Place,1.4402411,103.80128229613848,woodlands east,woodlands
AMK Hub,1.36943465,103.84833397934707,ang mo kio town centre,ang mo kio
Canberra Plaza,1.4431568,103.83061799599449,sembawang east,sembawang
Causeway Point,1.43610095,103.78609485029942,woodlands regional centre,woodlands
Woodlands Civic Centre,1.4351090829029625,103.78673708214755,woodlands regional centre,woodlands
Broadway Plaza,1.37193525,103.84595975,ang mo kio town centre,ang mo kio
Djitsun Mall,1.3728336,103.8476584058604,ang mo kio town centre,ang mo kio
Jubilee Square,1.37178005,103.8477747,ang mo kio town centre,ang mo kio
Junction 8,1.3505893,103.84874474726445,bishan east,bishan
Marsiling Mall,1.4334767,103.77990293003096,woodlands west,woodlands
Northpoint City,1.4282062,103.83626400464054,yishun central,yishun
Sembawang Shopping Centre,1.4417425499999998,103.82487530981949,sembawang springs,sembawang
Sun Plaza,1.44815185,103.81950288998594,sembawang central,sembawang
Vista Point,1.4315537076926357,103.7938525207807,woodlands south,woodlands
Wisteria Mall,1.4182428999999999,103.84125285093924,yishun south,yishun
Woodlands Mart,1.4461883598406944,103.79793196865386,woodlands east,woodlands
Woodlands North Plaza,1.4428497313356674,103.79075475516018,midview,woodlands
Waterway Point,1.4066031,103.9020707368327,punggol town centre,punggol
Compass One,1.3920336999999998,103.89495266211112,sengkang town centre,sengkang
Hougang Mall,1.3725735,103.89378785746996,hougang central,hougang
Heartland Mall,1.3594916499999998,103.88521771853723,lorong ah soo,hougang
NEX,1.35045035,103.87224493295808,serangoon central,serangoon
Buangkok Square,1.38431285,103.88218755,trafalgar,hougang
Greenwich V,1.38750095,103.86939420537256,seletar hills,serangoon
Hougang 1,1.3757190499999998,103.87949145438348,trafalgar,hougang
