name,area_size,population,planning_area
ang mo kio town centre,0.3169,4810,ang mo kio
cheng san,0.9557,28070,ang mo kio
chong boon,1.0786,26500,ang mo kio
kebun bahru,1.0464,22620,ang mo kio
sembawang hills,0.8945,6850,ang mo kio
shangri-la,0.6879,15960,ang mo kio
tagore,3.3342,7950,ang mo kio
townsville,0.5464,21140,ang mo kio
yio chu kang,0.9094,20,ang mo kio
yio chu kang east,1.8619,4200,ang mo kio
yio chu kang north,1.4645,0,ang mo kio
yio chu kang west,0.8461,24150,ang mo kio
bayshore,2.5068,7450,bedok
bedok north,3.2037,81840,bedok
bedok reservoir,2.3793,25470,bedok
bedok south,2.9973,46690,bedok
frankel,4.2971,34490,bedok
kaki bukit,2.821,37150,bedok
kembangan,2.3873,37460,bedok
siglap,1.0865,6440,bedok
bishan east,1.7945,28310,bishan
marymount,1.9641,29620,bishan
upper thomson,3.8495,29390,bishan
liu fang,2.3389,10,boon lay
samulun,1.9286,10,boon lay
shipyard,2.1043,0,boon lay
tukang,1.8813,10,boon lay
brickworks,1.2317,19820,bukit batok
bukit batok central,0.8003,27290,bukit batok
bukit batok east,0.3802,12690,bukit batok
bukit batok south,1.8064,14930,bukit batok
bukit batok west,0.5275,15000,bukit batok
gombak,2.4563,9930,bukit batok
guilin,1.0851,12940,bukit batok
hillview,1.9936,19300,bukit batok
hong kah north,0.8592,26150,bukit batok
alexandra hill,1.0304,13490,bukit merah
alexandra north,0.2937,2620,bukit merah
bukit ho swee,0.5517,14390,bukit merah
bukit merah,0.4117,1110,bukit merah
city terminals,3.4441,20,bukit merah
depot road,0.4423,6540,bukit merah
everton park,0.6357,7810,bukit merah
henderson hill,0.5953,13320,bukit merah
kampong tiong bahru,0.3653,9010,bukit merah
maritime square,2.6632,3620,bukit merah
redhill,0.3876,10620,bukit merah
singapore general hospital,0.533,10,bukit merah
telok blangah drive,1.455,19320,bukit merah
telok blangah rise,0.5335,12150,bukit merah
telok blangah way,0.2768,9230,bukit merah
tiong bahru,0.4481,12890,bukit merah
tiong bahru station,0.3508,15120,bukit merah
bangkit,0.7632,22270,bukit panjang
dairy farm,1.2359,6940,bukit panjang
fajar,0.6685,27820,bukit panjang
jelebu,0.9112,31310,bukit panjang
nature reserve,4.1413,3850,bukit panjang
saujana,0.675,25920,bukit panjang
senja,0.6249,20170,bukit panjang
anak bukit,2.7733,21870,bukit timah
coronation road,1.4251,6690,bukit timah
farrer court,0.5588,6180,bukit timah
hillcrest,2.6365,9470,bukit timah
holland road,3.3872,10840,bukit timah
leedon park,2.0385,6440,bukit timah
swiss club,3.4685,5340,bukit timah
ulu pandan,1.2271,11020,bukit timah
central water catchment,37.1587,0,central water catchment
changi airport,35.04,10,changi
changi point,0.9032,540,changi
changi west,4.7566,1300,changi
changi bay,1.9119,0,changi bay
choa chu kang central,1.0957,22530,choa chu kang
choa chu kang north,1.0886,31930,choa chu kang
keat hong,1.1438,38180,choa chu kang
peng siang,0.8627,34720,choa chu kang
teck whye,1.0032,24320,choa chu kang
yew tee,0.9232,40390,choa chu kang
clementi central,0.7492,14000,clementi
clementi north,0.9911,28810,clementi
clementi west,0.6975,15260,clementi
clementi woods,1.058,16000,clementi
faber,0.9482,5360,clementi
pandan,1.2016,20,clementi
sunset way,0.9639,5650,clementi
toh tuck,2.078,20,clementi
west coast,0.7226,6870,clementi
anson,0.1032,80,downtown core
