property_type,num_beds,num_baths,size_sqft,furnishing,lat,lng,subzone,planning_area,price,built_year,tenure,pri_sch,sec_sch,mrt_station,population_density,closest_dist_to_mrt,closest_dist_to_pri,closest_dist_to_sec,close_pri_sch,close_sec_sch,closest_dist_to_shop,closest_dist_to_com
hdb,4,2,1575,unspecified,1.373,103.9,serangoon north,serangoon,995400.0,1992,99-year leasehold,1.0,0.0,0.0,23280.268730831023,1816.3356746947986,37.67692177543077,376.16373848025773,3,4,581.008934131414,2441.827951658481
condo,4,6,3070,partial,1.299,103.9,mountbatten,marine parade,8485000.0,2022,freehold,0.0,1.0,0.0,5829.779776856125,444.6263932054229,2015.9232170534617,813.4303796271456,0,1,416.3462659437621,2641.4391471732356
condo,3,2,958,partial,1.3125,103.8,farrer court,bukit timah,2626000.0,2023,freehold,1.0,1.0,1.0,11059.413027916966,791.0017042641059,1041.6632217345634,893.8486490372085,0,1,1525.1917709161926,2580.8725173781363
condo,2,1,732,unspecified,1.274,103.8,anson,downtown core,1764000.0,2026,99-year leasehold,0.0,0.0,0.0,775.1937984496124,512.4786616452145,466.17564766447134,1154.6094689648473,1,0,1229.0595933534555,1711.3548064203899
condo,2,2,689,unspecified,1.339,103.75,bukit batok south,bukit batok,1702000.0,2024,freehold,0.0,0.0,0.0,8265.057573073516,1067.256200278732,854.6352458963188,797.7921970034943,1,1,595.4435825630696,1251.995349166412
condo,3,2,1076,unspecified,1.311,103.9,kampong java,kallang,2475900.0,2026,99-year leasehold,1.0,0.0,0.0,10009.505703422054,415.1306925962342,1343.2635384169912,1270.608515503607,0,0,819.9976722976163,2224.2056988527115
condo,1,1,700,unspecified,1.315,103.8,nassim,tanglin,1312500.0,2014,freehold,0.0,0.0,1.0,4541.768045417681,611.5387340671831,766.529220102696,591.1588980049153,1,1,1728.7910777290197,2683.888705499148
condo,2,1,570,unspecified,1.311,103.8,leedon park,bukit timah,1802500.0,2025,freehold,0.0,0.0,1.0,3159.1856757419673,954.6735967250615,1238.8062858991407,1102.9710100327193,0,0,1415.080480681904,2533.2287280140895
condo,2,1,646,unspecified,1.33,103.9,kaki bukit,bedok,1365000.0,2023,freehold,1.0,0.0,2.0,13169.088975540588,643.0383825653707,608.750196538065,467.45797723076504,3,1,756.6699662379881,2373.7488227785807
condo,1,1,474,unspecified,1.339,103.75,bukit batok south,bukit batok,1008000.0,2024,freehold,0.0,0.0,0.0,8265.057573073516,1067.256200278732,854.6352458963188,797.7921970034943,1,1,595.4435825630696,1251.995349166412
condo,3,3,1227,unspecified,1.364,103.8,upper thomson,bishan,2079000.0,2004,99-year leasehold,0.0,1.0,3.0,7634.757760748149,2269.611404526835,2650.0718617139532,1909.5316414336812,0,0,2305.251625745799,4241.451734458123
condo,2,1,850,unspecified,1.3,103.9,mountbatten,marine parade,2080000.0,2024,99-year leasehold,0.0,1.0,0.0,5829.779776856125,336.55025164296967,1943.0657016032892,802.4452139856216,0,1,320.7338315397653,2698.1884309960174
hdb,3,2,980,unspecified,1.329,103.9,balestier,novena,554400.0,1981,99-year leasehold,1.0,0.0,0.0,16832.762379321084,675.7831291149248,716.9770551576618,574.6401336017248,3,1,788.3036494506184,2389.2893248967525
condo,4,7,6200,unspecified,1.277,103.9,cecil,downtown core,19740000.0,2017,99-year leasehold,0.0,0.0,0.0,1322.4821973550356,1562.2322069442087,3393.155302765192,2649.2821504868693,0,0,1283.547455399455,2505.448469336749
hdb,1,1,470,unspecified,1.374,103.9,cheng san,ang mo kio,309800.0,1980,99-year leasehold,3.0,1.0,1.0,29371.141571622895,1903.052568789917,97.75918177491778,453.3493591048788,3,4,533.69685056448,2549.6261203840186
condo,4,4,1496,unspecified,1.305,103.75,dover,queenstown,2730000.0,2023,99-year leasehold,1.0,2.0,0.0,8027.240454973556,2048.583451890329,1189.2557246622987,1061.6008369676815,0,0,1786.2653714086969,2598.365506321766
terraced house,5,5,2700,partial,1.364,103.94,flora drive,pasir ris,2079000.0,1996,99-year leasehold,0.0,0.0,0.0,15534.391534391536,1634.1504060061623,174.09957779031785,1308.4141860237319,2,0,1257.7805785142189,1499.2159210174432
hdb,4,2,1625,unspecified,1.294,103.8,mei chin,queenstown,1134000.0,1995,99-year leasehold,0.0,0.0,1.0,20796.046480566314,672.336343465033,566.1457103681322,106.94151501830721,2,3,1010.5007506669068,1157.2457416372913
hdb,3,2,1560,unspecified,1.335,103.94,kaki bukit,bedok,934500.0,1996,99-year leasehold,1.0,0.0,2.0,13169.088975540588,613.3045423129679,402.8732773225811,208.1337514043854,4,3,1323.8087301260512,2198.759777765887
condo,1,1,657,unspecified,1.295,103.9,bras basah,museum,1365000.0,2007,99-year leasehold,0.0,0.0,1.0,45.70383912248629,878.1966696211094,2203.3483678157772,984.1250712425971,0,1,831.3067023534854,2449.683882628286
semi-detached house,4,5,4716,unspecified,1.301,103.9,mountbatten,marine parade,8059800.0,2025,freehold,0.0,1.0,0.0,5829.779776856125,228.95975031723128,1873.671603312763,806.0711589621035,0,1,236.5992841405761,2758.0471174615172
condo,3,2,1561,unspecified,1.307,103.8,cairnhill,newton,3832500.0,2010,freehold,0.0,0.0,0.0,8593.576965669989,1328.8469709730387,1288.4902546651822,1295.5715087480119,0,0,1279.818368766201,2316.159780911385
condo,2,2,1098,partial,1.277,103.9,cecil,downtown core,2719500.0,2017,99-year leasehold,0.0,0.0,0.0,1322.4821973550356,1562.2322069442087,3393.155302765192,2649.2821504868693,0,0,1283.547455399455,2505.448469336749
condo,3,3,1130,unspecified,1.316,103.9,balestier,novena,2671200.0,2023,freehold,1.0,0.0,0.0,16832.762379321084,661.215973601564,1041.3723371412782,930.903512891306,0,1,1395.75298926985,2065.8802387248115
terraced house,4,4,1392,unspecified,1.319,103.94,frankel,bedok,4830000.0,1980,freehold,3.0,1.0,0.0,8026.34334783924,1315.2048197763727,526.1873404649733,245.61615578873955,2,2,1100.3917807412706,3537.5067097668743
condo,3,3,1281,unspecified,1.309,103.8,ridout,tanglin,3245400.0,2024,freehold,0.0,0.0,0.0,778.7683164258633,1136.4206388140085,1441.7184095483487,1314.7079153402278,0,0,1331.5509026922628,2503.5823999332497
condo,3,2,1130,unspecified,1.309,103.8,ridout,tanglin,3032400.0,2023,freehold,0.0,0.0,0.0,778.7683164258633,1136.4206388140085,1441.7184095483487,1314.7079153402278,0,0,1331.5509026922628,2503.5823999332497
hdb,3,2,1001,unspecified,1.424,103.9,yishun east,yishun,581700.0,2017,99-year leasehold,2.0,1.0,0.0,34290.3973322783,4032.469847010639,2960.3913332055536,3035.2785024176483,0,0,2987.1965080287046,1840.718764229254
