num_beds,num_baths,size_sqft,price,built_year,mrt_station,population_density,closest_dist_to_mrt,closest_dist_to_pri,closest_dist_to_sec,price_per_sqft,price_avg_planning_area,psf_bbox,age,property_type_cluster house,property_type_condo,property_type_corner terrace,property_type_executive condo,property_type_hdb,property_type_semi-detached house,property_type_terraced house,property_type_infrequent_sklearn,furnishing_partial,furnishing_unfurnished,furnishing_unspecified,furnishing_infrequent_sklearn,tenure_999-year leasehold,tenure_freehold
3.0,2.0,1115,514500.0,1988.0,0.0,31517.683927771974,574.2046109710419,275.58242733323164,183.21261154601223,461.43497757847535,901.3551056288627,611.3809236146498,34.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
4.0,2.0,1575,995400.0,1978.0,0.0,23280.268730831023,1734.3060806410676,122.92468413107385,290.8395123825602,632.0,1722.6320561005361,718.4570428714437,44.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
4.0,6.0,3070,8485000.0,2022.0,0.0,5829.779776856125,1319.7671166223622,891.4750985278688,894.8325757197345,2763.843648208469,2301.847214742496,2221.0756076890048,0.0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
3.0,2.0,958,2626000.0,2023.0,1.0,11059.413027916966,726.0045547549997,1090.3706039846174,1108.445632937182,2741.1273486430064,2492.072166072044,2826.5690060650636,-1.0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
2.0,1.0,732,1764000.0,2026.0,0.0,775.1937984496124,371.1159476494988,464.8345043003176,1549.0173268405508,2409.8360655737706,2907.2356465199555,2701.046423439582,-4.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
2.0,2.0,689,1702000.0,2024.0,0.0,8265.057573073516,1329.1063969340123,385.88199411908096,1480.6246791755275,2470.2467343976778,1328.9038566073004,2155.530535118722,-2.0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
3.0,2.0,1076,2475900.0,2026.0,0.0,10009.505703422054,401.4430849106933,247.586489438261,1286.1804673534266,2301.022304832714,2007.0264316816836,1898.6913047850753,-4.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
5.0,6.0,11500,15645000.0,2007.0,0.0,1539.570419489693,730.2501470019906,1033.237748235312,2365.2713082897426,1360.4347826086955,2492.072166072044,2618.5548715424115,15.0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
1.0,1.0,700,1312500.0,2014.0,1.0,4541.768045417681,505.2239244093679,1103.72119049265,755.0468500176985,1875.0,2936.2443489344096,3147.209163839106,8.0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
2.0,1.0,570,1802500.0,2025.0,1.0,3159.1856757419678,741.7651307306714,1228.4580240526527,888.0639339934987,3162.280701754386,2492.072166072044,2828.373986442772,-3.0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
2.0,2.0,1733,2205000.0,1985.0,1.0,15577.352950989223,573.6326439112738,531.281080965008,342.9655274230564,1272.3600692440857,1407.1363728201432,1252.2636842433421,37.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
2.0,1.0,646,1365000.0,2023.0,2.0,13169.088975540588,661.7160817729902,473.4521451825911,501.4001100663633,2113.003095975232,1407.1363728201432,1394.074281461512,-1.0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
1.0,1.0,474,1008000.0,2024.0,0.0,8265.057573073516,1329.1063969340123,385.88199411908096,1480.6246791755275,2126.5822784810125,1328.9038566073004,2155.530535118722,-2.0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
3.0,3.0,1227,2079000.0,2004.0,3.0,7634.757760748149,178.70201340083662,1006.5941405942044,337.5081304670411,1694.3765281173594,1225.0323485052786,1564.4309327173032,18.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
2.0,1.0,850,2080000.0,2024.0,0.0,5829.779776856125,937.8851988083117,1265.3847882967773,656.164412804139,2447.058823529412,2301.847214742496,2692.66986759978,-2.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
3.0,2.0,1119,554400.0,1992.0,0.0,40245.74011823345,485.7137400799285,410.7793047136894,364.8112348761606,495.44235924932974,600.4770645387979,486.7747726590462,30.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
3.0,2.0,980,554400.0,1981.0,0.0,16832.762379321084,544.0803553460715,337.9104701163366,475.85598102758337,565.7142857142857,2294.045637075662,1352.8700338692943,41.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
1.0,1.0,517,800100.0,2009.0,2.0,12802.21957986524,236.23898870916057,650.8248027461415,1346.0893581800392,1547.5822050290135,2007.0264316816836,1900.562505250871,13.0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
4.0,7.0,6200,19740000.0,2017.0,0.0,1322.4821973550356,411.3198257753789,1064.4439448041037,1680.904956185442,3183.870967741936,2907.2356465199555,2655.648437773836,5.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
1.0,1.0,470,309800.0,1980.0,1.0,29371.14157162289,433.5696917675738,334.63439333134403,351.0624886836513,659.1489361702128,1441.8661569555527,904.4509987028113,42.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
4.0,4.0,1496,2730000.0,2023.0,0.0,8027.240454973556,906.9571930926876,1394.0136902250788,556.6588544571981,1824.866310160428,1678.2245536881246,2289.6988202462408,-1.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
5.0,5.0,2700,2079000.0,1996.0,0.0,15534.391534391536,1697.1728317309528,716.7983121108972,1086.8940343370896,770.0,1030.7946904276614,1150.387198726717,26.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
4.0,2.0,1625,1134000.0,1967.0,1.0,20796.046480566318,178.27263072147673,416.9754604309286,962.7071379275376,697.8461538461538,1678.2245536881246,1643.106513568567,55.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
5.0,6.0,7829,11025000.0,2003.0,0.0,2236.3732848154045,838.3933363686882,393.7526937201951,253.52443549310905,1408.2258270532634,2294.045637075662,2533.1051971555344,19.0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
3.0,2.0,1560,934500.0,1996.0,2.0,13169.088975540588,41.16451074430111,525.9224552131822,1079.3293408132138,599.0384615384615,1407.1363728201432,593.1394515822574,26.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
1.0,1.0,657,1365000.0,2007.0,1.0,45.70383912248629,252.64417873814503,344.9131730742647,565.6245263789589,2077.625570776256,2652.8842158017087,2527.593121769747,15.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
4.0,5.0,4716,8059800.0,2025.0,0.0,5829.779776856125,973.6480653339354,998.3068991972442,570.4558063262758,1709.0330788804072,2301.847214742496,2458.984877838497,-3.0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
2.0,2.0,721,388500.0,1985.0,1.0,30154.01616133711,180.31341063477228,485.9135343261443,400.1887905813096,538.8349514563107,856.6716704790283,560.9407495760727,37.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
3.0,2.0,1561,3832500.0,2010.0,0.0,8593.576965669989,657.5266575047715,1347.1951084791428,1454.9081080898293,2455.156950672646,3197.7435554316266,3172.8268280637794,12.0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
2.0,2.0,1098,2719500.0,2017.0,0.0,1322.4821973550356,411.3198257753789,1064.4439448041037,1680.904956185442,2476.775956284153,2907.2356465199555,2655.648437773836,5.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
3.0,3.0,1130,2671200.0,2023.0,0.0,16832.762379321084,478.7915960146673,607.2544034059262,953.9715760418336,2363.8938053097345,2294.045637075662,1801.8183928237013,-1.0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
2.0,2.0,872,2380400.0,2023.0,1.0,6901.669758812616,402.6211277536714,685.4650719221783,974.645797748637,2729.816513761468,2294.045637075662,2613.95018510195,-1.0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
4.0,4.0,1392,4830000.0,1980.0,0.0,8026.34334783924,1212.261852001764,0.0,928.6249787278851,3469.8275862068967,1407.1363728201432,1552.0819314953615,42.0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
3.0,3.0,1281,3245400.0,2024.0,0.0,778.7683164258633,982.436430177134,1344.9530885824513,1081.6038899428129,2533.4894613583137,2936.2443489344096,2753.4932087092357,-2.0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
3.0,2.0,1130,3032400.0,2023.0,0.0,778.7683164258633,982.436430177134,1344.9530885824513,1081.6038899428129,2683.539823008849,2936.2443489344096,2753.4932087092357,-1.0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
3.0,2.0,1001,581700.0,2017.0,0.0,34290.3973322783,1248.5668606613417,306.2611836143434,325.4668664407693,581.1188811188811,901.3551056288627,602.5321240751638,5.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
1.0,1.0,452,1342300.0,2023.0,3.0,1441.4414414414414,139.64607107650224,657.8929353539496,238.76381703549688,2969.690265486726,2652.8842158017087,2580.8813691748474,-1.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
4.0,4.0,1765,3360000.0,2022.0,0.0,18829.290006677053,262.4367518074025,342.70754148422174,345.29432371879204,1903.6827195467424,1722.6320561005361,2277.7436128896716,0.0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
1.0,1.0,646,1412200.0,2023.0,0.0,890.1432913590968,753.5253542681448,1643.1179375365411,1780.553873684527,2186.0681114551085,3623.018725710601,3073.9377726381554,-1.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
4.0,3.0,2088,7350000.0,2025.0,0.0,26938.602082005524,287.6107331259261,1232.800798421535,1325.0239900924478,3520.114942528736,1678.2245536881246,2375.215824114061,-3.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
3.0,2.0,1000,577500.0,2012.0,0.0,41615.55721765146,1488.6554287254448,367.6432410933301,531.1910353904963,577.5,880.0572923754722,704.674746204091,10.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
2.0,2.0,721,435800.0,1985.0,0.0,11934.374173061657,589.1370817289225,498.8842463725449,363.3523438912764,604.4382801664356,1722.6320561005361,758.8449442948016,37.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
4.0,2.0,1270,661500.0,1996.0,1.0,30154.01616133711,772.8724560054833,191.2830864043964,275.2988056086233,520.8661417322835,856.6716704790283,621.4831844591732,26.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
2.0,1.0,657,892500.0,2025.0,1.0,4042.665798151691,541.5725430750873,667.3886714440988,749.5242227493609,1358.447488584475,1328.9038566073004,1338.7581290937846,-3.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
5.0,7.0,4350,12075000.0,2000.0,3.0,7634.757760748149,513.8546171016055,469.5214926471721,644.8467686825202,2775.862068965517,1225.0323485052786,2351.641293580591,22.0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
3.0,3.0,1453,2887500.0,2015.0,1.0,11059.413027916966,509.2784359933726,822.8449438117916,927.2603396800656,1987.2677219545767,2492.072166072044,2809.0105494391746,7.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
3.0,2.0,1130,648900.0,2000.0,1.0,10704.829151431091,529.171067179504,410.85741139744937,239.07030241952472,574.2477876106195,1407.1363728201432,696.6619591259209,22.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
5.0,6.0,5230,6667500.0,2026.0,1.0,8268.146261597236,492.1467441365052,782.77702829045,662.9734102274629,1274.8565965583175,1035.970803844845,1440.7412549709709,-4.0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
3.0,2.0,1001,609000.0,2018.0,1.0,36197.2123985854,687.0520012086397,444.0151780094498,320.8537936778052,608.3916083916084,1035.970803844845,500.7864636740126,4.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
