,property_type,num_beds,num_baths,size_sqft,price,built_year,price_per_sqft,furnishing_unspecified,furnishing_partial,furnishing_unfurnished,furnishing_fully,tenure_99,tenure_999,tenure_freehold
0,8,4,2,1575,995400.0,30,632.0,1,0,0,0,1,0,0
1,4,4,6,3070,8485000.0,0,2763.84,0,1,0,0,0,0,1
2,4,3,2,958,2626000.0,-1,2741.13,0,1,0,0,0,0,1
3,4,2,1,732,1764000.0,-4,2409.84,1,0,0,0,1,0,0
4,4,2,2,689,1702000.0,-2,2470.25,1,0,0,0,0,0,1
5,4,3,2,1076,2475900.0,-4,2301.02,1,0,0,0,1,0,0
6,4,1,1,700,1312500.0,8,1875.0,1,0,0,0,0,0,1
7,4,2,1,570,1802500.0,-3,3162.28,1,0,0,0,0,0,1
8,4,2,1,646,1365000.0,-1,2113.0,1,0,0,0,0,0,1
9,4,1,1,474,1008000.0,-2,2126.58,1,0,0,0,0,0,1
10,4,3,3,1227,2079000.0,18,1694.38,1,0,0,0,1,0,0
11,4,2,1,850,2080000.0,-2,2447.06,1,0,0,0,1,0,0
12,8,3,2,980,554400.0,41,565.71,1,0,0,0,1,0,0
13,4,4,7,6200,19740000.0,5,3183.87,1,0,0,0,1,0,0
14,8,1,1,470,309800.0,42,659.15,1,0,0,0,1,0,0
15,4,4,4,1496,2730000.0,-1,1824.87,1,0,0,0,1,0,0
16,12,5,5,2700,2079000.0,26,770.0,0,1,0,0,1,0,0
17,8,4,2,1625,1134000.0,27,697.85,1,0,0,0,1,0,0
18,8,3,2,1560,934500.0,26,599.04,1,0,0,0,1,0,0
19,4,1,1,657,1365000.0,15,2077.63,1,0,0,0,1,0,0
20,10,4,5,4716,8059800.0,-3,1709.03,1,0,0,0,0,0,1
21,4,3,2,1561,3832500.0,12,2455.16,1,0,0,0,0,0,1
22,4,2,2,1098,2719500.0,5,2476.78,0,1,0,0,1,0,0
23,4,3,3,1130,2671200.0,-1,2363.89,1,0,0,0,0,0,1
24,12,4,4,1392,4830000.0,42,3469.83,1,0,0,0,0,0,1
25,4,3,3,1281,3245400.0,-2,2533.49,1,0,0,0,0,0,1
26,4,3,2,1130,3032400.0,-1,2683.54,1,0,0,0,0,0,1
27,8,3,2,1001,581700.0,5,581.12,1,0,0,0,1,0,0
28,4,1,1,452,1342300.0,-1,2969.69,1,0,0,0,1,0,0
29,4,4,4,1765,3360000.0,0,1903.68,0,1,0,0,0,0,1
30,4,1,1,646,1412200.0,-1,2186.07,1,0,0,0,1,0,0
31,4,4,3,2088,7350000.0,-3,3520.11,0,1,0,0,1,0,0
32,8,3,2,1000,577500.0,10,577.5,1,0,0,0,1,0,0
33,4,2,1,657,892500.0,-3,1358.45,1,0,0,0,1,0,0
34,10,5,7,4350,12075000.0,22,2775.86,1,0,0,0,0,0,1
35,4,3,3,1453,2887500.0,7,1987.27,1,0,0,0,1,0,0
36,8,3,2,1130,648900.0,22,574.25,1,0,0,0,1,0,0
37,8,3,2,1001,609000.0,4,608.39,1,0,0,0,1,0,0
38,10,5,6,5000,7119000.0,9,1423.8,1,0,0,0,0,0,1
39,4,4,3,1313,2274800.0,-3,1732.52,1,0,0,0,0,0,1
40,4,3,2,936,2310000.0,-3,2467.95,1,0,0,0,0,0,1
41,4,2,2,689,1375500.0,-5,1996.37,0,0,1,0,1,0,0
42,4,5,4,1819,6161400.0,-1,3387.25,1,0,0,0,0,0,1
43,8,3,2,1130,575400.0,33,509.2,1,0,0,0,1,0,0
44,8,3,2,1313,628800.0,25,478.9,1,0,0,0,1,0,0
45,4,2,2,753,2288000.0,-2,3038.51,1,0,0,0,1,0,0
46,4,4,4,1399,3272800.0,-1,2339.39,1,0,0,0,0,0,1
47,6,3,2,926,1076200.0,-1,1162.2,0,0,0,1,1,0,0
48,4,3,2,1281,3922700.0,-3,3062.22,1,0,0,0,0,0,1
49,4,3,2,904,2516800.0,-2,2784.07,1,0,0,0,1,0,0
50,8,4,2,1313,724500.0,33,551.79,1,0,0,0,1,0,0
51,4,1,1,527,1541400.0,-2,2924.86,0,1,0,0,0,0,1
52,2,6,6,7015,8998500.0,8,1282.75,0,1,0,0,0,0,1
53,8,3,2,1001,798000.0,5,797.2,1,0,0,0,1,0,0
54,4,3,2,958,1459500.0,-4,1523.49,1,0,0,0,1,0,0
55,6,3,3,1184,1257900.0,8,1062.42,1,0,0,0,1,0,0
56,4,4,4,2368,10963400.0,-3,4629.81,1,0,0,0,0,0,1
57,6,2,2,764,1155000.0,5,1511.78,1,0,0,0,1,0,0
58,4,2,2,667,1772400.0,-1,2657.27,0,1,0,0,0,0,1
59,4,3,2,1076,2415000.0,-4,2244.42,0,1,0,0,1,0,0
60,10,5,5,4925,6016500.0,9,1221.62,1,0,0,0,0,0,1
61,8,3,2,1140,1260000.0,11,1105.26,1,0,0,0,1,0,0
62,4,5,3,5985,14184200.0,9,2369.96,1,0,0,0,0,0,1
63,4,1,1,560,1761900.0,-1,3146.25,0,0,1,0,1,0,0
64,4,2,1,710,1937000.0,-2,2728.17,0,1,0,0,0,0,1
65,8,3,2,969,525000.0,18,541.8,1,0,0,0,1,0,0
66,4,5,4,1884,4438400.0,-2,2355.84,0,0,1,0,0,0,1
67,8,2,2,645,446200.0,40,691.78,0,0,1,0,1,0,0
68,8,3,2,1001,984900.0,5,983.92,0,1,0,0,1,0,0
69,4,1,1,549,1470000.0,5,2677.6,1,0,0,0,1,0,0
70,8,3,2,990,521800.0,41,527.07,1,0,0,0,1,0,0
71,12,5,6,3966,5019000.0,14,1265.51,1,0,0,0,0,0,1
72,4,4,3,1195,2082900.0,-3,1743.01,1,0,0,0,0,0,1
73,4,3,2,1421,3514400.0,-4,2473.19,1,0,0,0,1,0,0
74,4,3,3,1603,4376200.0,13,2730.01,1,0,0,0,0,0,1
